sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Average","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Multi-Pumping Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"","[child]-[loop in depose_jxjyjz_vechv_vnr_1_1_1 at current_deposition.F90:2681]","-1","2 Possible inefficient memory access patterns present ","n/a","n/a","n/a","Vectorized (Body) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","16","8.32x","","","","","","","Type Conversions; Shuffles; Inserts; FMA","FMA; Inserts; Shuffles; Type Conversions","<b>Float32</b>; Float64; Int32; UInt32","31","512","AVX512F_512","","","","","SIMD; Unaligned Access in Vector Loop","","current_deposition.F90:2681","current_deposition.F90:2681","picsar_carl_advisor"
"48","[loop in depose_rho_vechvv2_1_1_1 at charge_deposition.F90:2271]","1","2 Potential underutilization of FMA instructions ","0.1320s","0.1320s","0.1320s","Scalar","696166464","5.27335","0.3810","100","13.8425","0.6962","64","1.8274","168","inner loop was already vectorized","","","","","","","1","1","1","64","170609","< 0.0001s","FMA","FMA","Float64","13","512","AVX512F_512","","","","","","","charge_deposition.F90:2271","charge_deposition.F90:2271","picsar_carl_advisor"
"133","[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1231]","1","1 Data type conversions present ","0.1319s","0s","0.1319s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","139.416","11.15x","8; [8]","9.81x","58","58","1","64","21981","< 0.0001s","FMA; Type Conversions; [FMA; Mask Manipulations; Type Conversions]","FMA; Type Conversions;  [FMA; Mask Manipulations; Type Conversions]","Float32; <b>Float64</b>; Int32; [Float64; Int32; UInt32]","16; [21]","256/512; [256/512]","AVX; AVX512F_512; [AVX2; AVX512F_512]","","","","","SIMD; Unaligned Access in Vector Loop; [Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","particles_push.F90:1231","particles_push.F90:1231","picsar_carl_advisor"
"23","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1231]","1","1 Data type conversions present ","0.1319s","0.1319s","0.1319s","Vectorized (Body)","163596360","1.24032","0.1172","100","10.5840","0.1636","120","1.3960","1024","","AVX512","AVX512","","","8","9.81x","58","58","1","64","21981","< 0.0001s","Type Conversions; FMA","FMA; Type Conversions","Float32; <b>Float64</b>; Int32","16","256/512","AVX; AVX512F_512","","","","","SIMD; Unaligned Access in Vector Loop","","particles_push.F90:1231","particles_push.F90:1231","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1231]","-1","1 Data type conversions present ","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","64320","","0.0982","48.2448","","< 0.0001","57.8938","0.0007","589.465","","AVX512","AVX512","","","8","6.90x","1","1","1","1","1111","","Type Conversions; FMA; Mask Manipulations","FMA; Mask Manipulations; Type Conversions","<b>Float64</b>; Int32; UInt32","21","256/512","AVX2; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1231","particles_push.F90:1231","picsar_carl_advisor"
"15","[loop in for__acquire_semaphore_threaded]","1","","0.1159s","0.1159s","0.1159s","Scalar","","","","","1.1450","","","0.1327","","loop with early exits cannot be vectorized unless it meets search loop idiom criteria ","","","","","","","0","0","0","0","6637027","","","","","0","","","","","","","","","","","picsar_carl_advisor"
"9","[loop in load_particles at tiling.F90:730]","1","2 Assumed dependency present ","0.0961s","0.0961s","1.3380s","Scalar","56763240","0.590828","0.0786","65.7506","7.5205","0.0568","51.3267","0.7225","653.326","vector dependence prevents vectorization","","","","","","","40","40","40","40","27648","< 0.0001s","Square Roots; Type Conversions; Blends; FMA; Mantissa extractions; Exponent extractions; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Blends; Exponent extractions; FMA; Mantissa extractions; Square Roots; Type Conversions","Float64; UInt64","32","128","AVX","","","","","","","tiling.F90:730","tiling.F90:730","picsar_carl_advisor"
"154","[loop in depose_rho_vechvv2_1_1_1 at charge_deposition.F90:2246]","1","3 Vector register spilling possible ","0.0800s","0s","0.0800s","Vectorized (Body; [Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","101.232","8.10x","8; [8]","8.22x","1","1","1","8","170462","< 0.0001s","FMA; Inserts; Permutes; Shifts; Type Conversions; Unpacks; [FMA; Inserts; Permutes; Shifts; Type Conversions; Unpacks]","FMA; Inserts; Permutes; Shifts; Type Conversions; Unpacks;  [FMA; Inserts; Permutes; Shifts; Type Conversions; Unpacks]","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64; [Float32; Float64; Int32; Int64; UInt32; UInt64]","32; [32]","128/256/512; [128/256/512]","AVX; AVX2; AVX512F_512; [AVX; AVX2; AVX512F_512]","","","","","SIMD; Unaligned Access in Vector Loop; [Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","charge_deposition.F90:2246","charge_deposition.F90:2246","picsar_carl_advisor"
"50","[child]-[loop in depose_rho_vechvv2_1_1_1 at charge_deposition.F90:2246]","1","3 Vector register spilling possible ","0.0800s","0.0800s","0.0800s","Vectorized (Body)","141352536","1.76634","0.0695","100","25.4082","0.1414","104","2.0333","1496","","AVX512","AVX512","","","8","8.22x","1","1","1","8","170462","< 0.0001s","Type Conversions; Permutes; Unpacks; Inserts; Shifts; FMA","FMA; Inserts; Permutes; Shifts; Type Conversions; Unpacks","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","32","128/256/512","AVX; AVX2; AVX512F_512","","","","","SIMD; Unaligned Access in Vector Loop","","charge_deposition.F90:2246","charge_deposition.F90:2246","picsar_carl_advisor"
"","[child]-[loop in depose_rho_vechvv2_1_1_1 at charge_deposition.F90:2246]","-1","2 Vector register spilling possible ","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","66708","","0.0522","59.9565","","< 0.0001","59.5607","0.0013","1141.21","","AVX512","AVX512","","","8","6.43x","1","1","1","1","1120","","Type Conversions; Permutes; Unpacks; Inserts; Shifts; FMA","FMA; Inserts; Permutes; Shifts; Type Conversions; Unpacks","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","32","128/256/512","AVX; AVX2; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","charge_deposition.F90:2246","charge_deposition.F90:2246","picsar_carl_advisor"
"33","[loop in pxr_particle_bin_sorting at sorting.F90:315]","1","1 Assumed dependency present ","0.0800s","0.0800s","0.0800s","Scalar","","","","","3.2004","","","0.2559","","vector dependence prevents vectorization","","","","","","","","","","","","","","","","0","","","","","","","","","sorting.F90:315","sorting.F90:315","picsar_carl_advisor"
"41","[loop in depose_jxjyjz_vechv_vnr_1_1_1 at current_deposition.F90:2656]","1","","0.0680s","0.0680s","0.5784s","Scalar","","","","","17.3533","","","1.1807","434","inner loop was already vectorized","","","","","","","1","1","1","2","1361559","< 0.0001s","Mask Manipulations","Mask Manipulations","Float32; Int32; UInt32","32","256/512","AVX; AVX2; AVX512F_512","","","","","","","current_deposition.F90:2656","current_deposition.F90:2656","picsar_carl_advisor"
"137","[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1421]","1","","0.0639s","0s","0.0639s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","90.5017","7.24x","8; [8]","6.65x","58","58","1","64","21981","< 0.0001s","Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER); [Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)]","Appr. Reciprocals(AVX-512ER); Divisions; FMA; Mask Manipulations;  [Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)]","Float32; <b>Float64</b>; [Float32; Float64; Int32]","15; [17]","512; [256/512]","AVX512ER_512; AVX512F_512; [AVX2; AVX512ER_512; AVX512F_512]","","","","","SIMD; Unaligned Access in Vector Loop; [Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","particles_push.F90:1421","particles_push.F90:1421","picsar_carl_advisor"
"24","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1421]","1","","0.0639s","0.0639s","0.0639s","Vectorized (Body)","468976232","7.33411","0.4479","100","16.3738","0.4690","344","1.0470","768","","AVX512","AVX512","","","8","6.65x","58","58","1","64","21981","< 0.0001s","Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Divisions; FMA; Mask Manipulations","Float32; <b>Float64</b>","15","512","AVX512ER_512; AVX512F_512","","","","","SIMD; Unaligned Access in Vector Loop","","particles_push.F90:1421","particles_push.F90:1421","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1421]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","2.44x","","","","","","","Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Divisions; FMA; Mask Manipulations","Float32; <b>Float64</b>; Int32","17","256/512","AVX2; AVX512ER_512; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1421","particles_push.F90:1421","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1421]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","184384","","0.4479","48.2448","","0.0002","165.962","0.0004","370.52","","AVX512","AVX512","","","8","2.44x","1","1","1","1","1111","","Divisions; FMA; Mask Manipulations; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Divisions; FMA; Mask Manipulations","Float32; <b>Float64</b>; Int32","17","256/512","AVX2; AVX512ER_512; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1421","particles_push.F90:1421","picsar_carl_advisor"
"37","[loop in pxr_particle_bin_sorting at sorting.F90:270]","1","2 Assumed dependency present ","0.0480s","0.0480s","0.0480s","Scalar","6617700","0.137895","0.0268","100","5.1481","0.0066","","0.2471","","vector dependence prevents vectorization","","","","","","","","","","","","","Type Conversions","Type Conversions","Float64","12","","","","","","","","","sorting.F90:270","sorting.F90:270","picsar_carl_advisor"
"136","[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1388]","1","","0.0441s","0s","0.0441s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","120.347","9.63x","8; [8]","8.60x","58","58","1","64","21981","< 0.0001s","FMA; Square Roots; [FMA; Mask Manipulations; Square Roots]","FMA; Square Roots;  [FMA; Mask Manipulations; Square Roots]","Float32; <b>Float64</b>; Int64; [Float64; Int32; Int64]","12; [19]","512; [256/512]","AVX512ER_512; AVX512F_512; [AVX2; AVX512ER_512; AVX512F_512]","","","","","SIMD; Unaligned Access in Vector Loop; [Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","particles_push.F90:1388","particles_push.F90:1388","picsar_carl_advisor"
"59","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1388]","1","","0.0441s","0.0441s","0.0441s","Vectorized (Body)","43625696","0.988711","0.0404","14.2857","24.4706","0.0436","32","1.0797","792","","AVX512","AVX512","","","8","8.60x","58","58","1","64","21981","< 0.0001s","Square Roots; FMA","FMA; Square Roots","Float32; <b>Float64</b>; Int64","12","512","AVX512ER_512; AVX512F_512","","","","","SIMD; Unaligned Access in Vector Loop","","particles_push.F90:1388","particles_push.F90:1388","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1388]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","2.09x","","","","","","","Square Roots; FMA; Mask Manipulations","FMA; Mask Manipulations; Square Roots","<b>Float64</b>; Int32; Int64","19","256/512","AVX2; AVX512ER_512; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1388","particles_push.F90:1388","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1388]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","25728","","0.0587","10.3382","","< 0.0001","23.1575","0.0004","394.52","","AVX512","AVX512","","","8","2.09x","1","1","1","1","1111","","Square Roots; FMA; Mask Manipulations","FMA; Mask Manipulations; Square Roots","<b>Float64</b>; Int32; Int64","19","256/512","AVX2; AVX512ER_512; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1388","particles_push.F90:1388","picsar_carl_advisor"
"55","[loop in pxrpush_em3d_evec_norder_$omp$parallel@143 at maxwell.F90:146]","1","","0.0440s","0.0440s","0.0560s","Threaded (OpenMP)","2812500","0.0639145","0.0450","100","1.4203","0.0028","","0.0625","","inner loop was already vectorized","","","","","","","","","","","","","Divisions; Extracts; FMA","Divisions; Extracts; FMA","Float32; Float64; UInt64","19","256/512","AVX; AVX512F_512","","","","","","OPENMP LOOP","maxwell.F90:146","maxwell.F90:146","picsar_carl_advisor"
"139","[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1494]","1","","0.0341s","0s","0.0341s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","119.772","9.58x","8; [8]","8.53x","58","58","1","64","21981","< 0.0001s","FMA; [FMA; Mask Manipulations]","FMA;  [FMA; Mask Manipulations]","Float32; <b>Float64</b>; [Float64; Int32]","5; [11]","512; [256/512]","AVX512F_512; [AVX2; AVX512F_512]","","","","","SIMD; [Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","particles_push.F90:1494","particles_push.F90:1494","picsar_carl_advisor"
"20","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1494]","1","","0.0341s","0.0341s","0.0341s","Vectorized (Body)","76344968","2.2394","0.0864","100","25.9131","0.0763","56","0.8834","648","","AVX512","AVX512","","","8","8.53x","58","58","1","64","21981","< 0.0001s","FMA","FMA","Float32; <b>Float64</b>","5","512","AVX512F_512","","","","","SIMD","","particles_push.F90:1494","particles_push.F90:1494","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1494]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.04x","","","","","","","FMA; Mask Manipulations","FMA; Mask Manipulations","<b>Float64</b>; Int32","11","256/512","AVX2; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1494","particles_push.F90:1494","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1494]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","30016","","0.0853","48.2448","","< 0.0001","27.0171","0.0004","316.767","","AVX512","AVX512","","","8","3.58x","1","1","1","1","1111","","FMA; Mask Manipulations","FMA; Mask Manipulations","<b>Float64</b>; Int32","11","256/512","AVX2; AVX512F_512","","","","","SIMD; Masked Loop Vectorization","","particles_push.F90:1494","particles_push.F90:1494","picsar_carl_advisor"
"138","[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1462]","1","","0.0320s","0s","0.0320s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","120.347","9.63x","8; [8]","8.60x","58","58","1","64","21981","< 0.0001s","FMA; Square Roots; [FMA; Mask Manipulations; Square Roots]","FMA; Square Roots;  [FMA; Mask Manipulations; Square Roots]","Float32; <b>Float64</b>; Int64; [Float64; Int32; Int64]","12; [19]","512; [256/512]","AVX512ER_512; AVX512F_512; [AVX2; AVX512ER_512; AVX512F_512]","","","","","SIMD; Unaligned Access in Vector Loop; [Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","particles_push.F90:1462","particles_push.F90:1462","picsar_carl_advisor"
"66","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1462]","1","","0.0320s","0.0320s","0.0320s","Vectorized (Body)","43625696","1.36349","0.0404","14.2857","33.7463","0.0436","32","1.0797","792","","AVX512","AVX512","","","8","8.60x","58","58","1","64","21981","< 0.0001s","Square Roots; FMA","FMA; Square Roots","Float32; <b>Float64</b>; Int64","12","512","AVX512ER_512; AVX512F_512","","","","","SIMD; Unaligned Access in Vector Loop","","particles_push.F90:1462","particles_push.F90:1462","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1462]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","2.09x","","","","","","","Square Roots; FMA; Mask Manipulations","FMA; Mask Manipulations; Square Roots","<b>Float64</b>; Int32; Int64","19","256/512","AVX2; AVX512ER_512; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1462","particles_push.F90:1462","picsar_carl_advisor"
"","[child]-[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1462]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","25728","","0.0587","10.3382","","< 0.0001","23.1575","0.0004","394.52","","AVX512","AVX512","","","8","2.09x","1","1","1","1","1111","","Square Roots; FMA; Mask Manipulations","FMA; Mask Manipulations; Square Roots","<b>Float64</b>; Int32; Int64","19","256/512","AVX2; AVX512ER_512; AVX512F_512","","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop","","particles_push.F90:1462","particles_push.F90:1462","picsar_carl_advisor"
"43","[loop in pxrpush_em3d_evec_norder_$omp$parallel@143 at maxwell.F90:162]","1","1 Potential underutilization of FMA instructions ","0.0320s","0.0320s","0.0320s","Threaded (OpenMP)","4062500","0.127096","0.0833","100","1.5251","0.0041","","0.0487","","inner loop was already vectorized","","","","","","","","","","","","","Divisions; Extracts; FMA","Divisions; Extracts; FMA","Float32; Float64; UInt64","19","256/512","AVX; AVX512F_512","","","","","","OPENMP LOOP","maxwell.F90:162","maxwell.F90:162","picsar_carl_advisor"
"21","[loop in field_gathering_plus_particle_pusher_1_1_1 at particles_push.F90:1205]","1","","0.0232s","0.0232s","1.2171s","Scalar","","","","","1.9851","","","0.0460","2076.81","inner loop was already vectorized","","","","","","","10","10","1","22","1422","< 0.0001s","Shifts; Mask Manipulations","Mask Manipulations; Shifts","Float32; Float64; Int32; UInt32; UInt64","32","256/512","AVX; AVX2; AVX512F_512","","","","","","","particles_push.F90:1205","particles_push.F90:1205","picsar_carl_advisor"
