sep=,

"Intel(R) Advisor Command Line Tool
Copyright (C) 2009-2016 Intel Corporation. All rights reserved."
"Survey Data version=1.1.0","delimiter=,"

"MPI rank:0"

"ID","Function Call Sites and Loops","","Vector Issues","Self Time","Elapsed Time","Total Time","Type","FLOPS And AVX-512 Mask Usage","GFLOPS","AI","Mask Utilization","L1 GB/s","GFLOP","FLOP Per Iteration","L1 GB","L1 Bytes Per Iteration","Why No Vectorization?","Vectorized Loops","Vector ISA","Efficiency","Gain Estimate","VL (Vector Length)","Compiler Estimated Gain","Trip Counts","Trip Counts Median","Trip Counts Min","Trip Counts Max","Trip Counts Call Count","Trip Counts Iteration Duration","Instruction Set Analysis","Traits","Data Types","Number of Vector Registers","Vector Widths","Instruction Sets","Advanced","Transformations","Unroll Factor","Vectorization Details","Optimization Details","Location","Source Location","Module"
"","[child]-[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:61]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","172800","","0.0938","100","","0.0002","120","0.0018","1280","","AVX512","AVX512","","","8","1.13x","1","1","1","1","1440","","Gathers; Shifts; FMA; 2-Source Permutes; Scatters; Mask Manipulations","2-Source Permutes; FMA; Gathers; Mask Manipulations; Scatters; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","26","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","efield_gk_elec2_vec.F90:61","efield_gk_elec2_vec.F90:61","xgc2"
"469","[loop in field_vec at field_vec.F90:92]","1","1 Possible inefficient memory access patterns present ","1.8961s","0s","2.1082s","Vectorized Versions","","","","","","","","","","2 inner loop was already vectorized","AVX512","AVX512","8.89031","1.42x","16","1.42x","1; 16","1; 16","1; 15","1; 16","140640; 140640","< 0.0001s","FMA; Mask Manipulations; Scatters","FMA; Mask Manipulations; Scatters","Float32; <b>Float64</b>; UInt64","1; 4; [0]","128/512; 512","AVX; AVX512F_512","","","","","LOOP WAS DISTRIBUTED, CHUNK 1; LOOP WAS DISTRIBUTED, CHUNK 2; [LOOP WAS DISTRIBUTED, CHUNK 1]","field_vec.F90:92","field_vec.F90:92","xgc2"
"172","[child]-[loop in field_vec at field_vec.F90:92]","1","","1.7720s","0.2080s","1.9840s","Scalar","756000000","3.63476","0.0559","100","65.0795","0.7560","5375.43","13.5360","96245.7","inner loop was already vectorized","","","","","","","1","1","1","1","140640","< 0.0001s","FMA","FMA","Float64; UInt64","1","128/512","AVX; AVX512F_512","","","","","LOOP WAS DISTRIBUTED, CHUNK 2","field_vec.F90:92","field_vec.F90:92","xgc2"
"219","[child]-[loop in field_vec at field_vec.F90:92]","1","1 Possible inefficient memory access patterns present ","0.1241s","0.0240s","0.1241s","Vectorized (Body)","","","","","47.9837","","","1.1519","512","","AVX512","AVX512","","","16","1.42x","16","16","15","16","140640","< 0.0001s","Scatters; Mask Manipulations","Mask Manipulations; Scatters","Float32; <b>Float64</b>","4","512","AVX512F_512","","","","","LOOP WAS DISTRIBUTED, CHUNK 1","field_vec.F90:92","field_vec.F90:92","xgc2"
"","[child]-[loop in field_vec at field_vec.F90:92]","-1","","n/a","n/a","n/a","Remainder [Not Executed]","","","","","","","","0.0001","32","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","8","8","8","8","480","","","","","0","","","","","","","LOOP WAS DISTRIBUTED, CHUNK 1","field_vec.F90:92","field_vec.F90:92","xgc2"
"169","[loop in search_tr2_vec at search.F90:825]","1","2 Assumed dependency present ","1.7880s","0.1883s","5.0282s","Scalar","110227950","0.585472","0.0223","100","26.3041","0.1102","3.82736","4.9523","171.955","vector dependence prevents vectorization","","","","","","","256","256","248","256","112512","< 0.0001s","Type Conversions; FMA","FMA; Type Conversions","Float64","17","","","","","","","","search.F90:825","search.F90:825","xgc2"
"429","[loop in eval_bicub_1_vec at bicub_mod.F90:735]","1","","1.5592s","0s","1.5592s","Vectorized Versions","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","54.279","8.68x","16; 8; [8]","<8.45x","16; 16; 16; 16","16; 16; 16; 16","15; 15; 15; 15","16; 16; 16; 16","900096; 900096; 900096; 900096","< 0.0001s","FMA; [FMA]","FMA;  [FMA]","Float32; <b>Float64</b>; [Float64; Int32]","7; [10]","512; [256/512]","AVX512F_512; [AVX2; AVX512F_512]","Unrolled by 2","Unrolled","2","Cost Model Was Ignored; Dependency Analysis Was Ignored; SIMD; Unaligned Access in Vector Loop; [Cost Model Was Ignored; Dependency Analysis Was Ignored; Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","LOOP WAS UNROLLED BY 2","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"188","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","1","","0.4555s","0.0520s","0.4555s","Vectorized (Body)","1151877120","22.1698","0.0893","100","248.3023","1.1519","80","12.9010","896","","AVX512","AVX512","","","8","7.70x","16","16","15","16","900096","< 0.0001s","FMA","FMA","Float32; <b>Float64</b>","7","512","AVX512F_512","Unrolled by 2","Unrolled","2","SIMD; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","LOOP WAS UNROLLED BY 2","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"176","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","1","","0.3759s","0.0479s","0.3759s","Vectorized (Body)","1151877120","24.0245","0.0893","100","269.0743","1.1519","80","12.9010","896","","AVX512","AVX512","","","16","8.45x","16","16","15","16","900096","< 0.0001s","FMA","FMA","Float32; <b>Float64</b>","7","512","AVX512F_512","","","","SIMD; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"199","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","1","","0.3718s","0.0441s","0.3718s","Vectorized (Body)","1151877120","26.1339","0.0893","100","292.7000","1.1519","80","12.9010","896","","AVX512","AVX512","","","8","7.70x","16","16","15","16","900096","< 0.0001s","FMA","FMA","Float32; <b>Float64</b>","7","512","AVX512F_512","Unrolled by 2","Unrolled","2","SIMD; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","LOOP WAS UNROLLED BY 2","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"207","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","1","","0.3559s","0.0680s","0.3559s","Vectorized (Body)","1151877120","16.9419","0.0893","100","189.7493","1.1519","80","12.9010","896","","AVX512","AVX512","","","8","7.70x","16","16","15","16","900096","< 0.0001s","FMA","FMA","Float32; <b>Float64</b>","7","512","AVX512F_512","Unrolled by 2","Unrolled","2","SIMD; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","LOOP WAS UNROLLED BY 2","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.79x","","","","","","","FMA","FMA","<b>Float64</b>; Int32","10","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.79x","","","","","","","FMA","FMA","<b>Float64</b>; Int32","10","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.79x","","","","","","","FMA","FMA","<b>Float64</b>; Int32","10","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","122880","","0.0769","100","","0.0001","40","0.0016","520","","AVX512","AVX512","","","8","2.65x","1","1","1","1","3072","","FMA","FMA","<b>Float64</b>; Int32","10","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","122880","","0.0769","100","","0.0001","40","0.0016","520","","AVX512","AVX512","","","8","2.65x","1","1","1","1","3072","","FMA","FMA","<b>Float64</b>; Int32","10","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","122880","","0.0769","100","","0.0001","40","0.0016","520","","AVX512","AVX512","","","8","2.65x","1","1","1","1","3072","","FMA","FMA","<b>Float64</b>; Int32","10","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:735]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","122880","","0.0769","100","","0.0001","40","0.0016","520","","AVX512","AVX512","","","8","2.65x","1","1","1","1","3072","","FMA","FMA","<b>Float64</b>; Int32","10","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:735","bicub_mod.F90:735","xgc2"
"93","[loop in search_tr2 at search.F90:779]","1","1 Potential underutilization of FMA instructions ","1.3267s","0.1439s","1.3267s","Scalar","315856960","2.19519","0.1923","100","11.4150","0.3159","13.6023","1.6425","70.7321","loop with multiple exits cannot be vectorized unless it meets search loop idiom criteria","","","","","","","2","2","0","12","8364908","< 0.0001s","FMA; Mask Manipulations","FMA; Mask Manipulations","Float64","13","","","","","","","","search.F90:779","search.F90:779","xgc2"
"484","[loop in derivs_elec_vec at derivs_elec_vec.F90:164]","1","1 Possible inefficient memory access patterns present ","1.0884s","0s","1.0884s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","","AVX512; [AVX512]","AVX512; [AVX512]","19.0041","1.52x","8; [8]","1.51x","32","32","31","32","140640","< 0.0001s","FMA; Gathers; Mask Manipulations; Scatters; [FMA; Gathers; Mask Manipulations; Scatters]","FMA; Gathers; Mask Manipulations; Scatters;  [FMA; Gathers; Mask Manipulations; Scatters]","Float32; <b>Float64</b>; Int32; Int64; UInt32; [Float32; Float64; Int32; Int64; UInt32]","30; [29]","512; [256/512]","AVX512F_512; [AVX2; AVX512F_512]","","","","Cost Model Was Ignored; Dependency Analysis Was Ignored; SIMD; Unaligned Access in Vector Loop; [Cost Model Was Ignored; Dependency Analysis Was Ignored; Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop]","","derivs_elec_vec.F90:164","derivs_elec_vec.F90:164","xgc2"
"184","[child]-[loop in derivs_elec_vec at derivs_elec_vec.F90:164]","1","1 Possible inefficient memory access patterns present ","1.0884s","0.1279s","1.0884s","Vectorized (Body)","2340000000","18.2923","0.1637","100","111.7238","2.3400","520","14.2920","3176","","AVX512","AVX512","","","8","1.51x","32","32","31","32","140640","< 0.0001s","Gathers; FMA; Scatters; Mask Manipulations","FMA; Gathers; Mask Manipulations; Scatters","Float32; <b>Float64</b>; Int32; Int64; UInt32","30","512","AVX512F_512","","","","SIMD; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","derivs_elec_vec.F90:164","derivs_elec_vec.F90:164","xgc2"
"","[child]-[loop in derivs_elec_vec at derivs_elec_vec.F90:164]","-1","","n/a","n/a","n/a","Vectorized (Peeled) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.24x","","","","","","","Gathers; FMA; Scatters; Mask Manipulations","FMA; Gathers; Mask Manipulations; Scatters","Float32; <b>Float64</b>; Int32; Int64; UInt32","29","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","derivs_elec_vec.F90:164","derivs_elec_vec.F90:164","xgc2"
"","[child]-[loop in derivs_elec_vec at derivs_elec_vec.F90:164]","-1","","n/a","n/a","n/a","Vectorized (Remainder) [Not Executed]","","","","","","","","","","","AVX512","AVX512","","","8","1.31x","","","","","","","Gathers; FMA; Scatters; Mask Manipulations","FMA; Gathers; Mask Manipulations; Scatters","Float32; <b>Float64</b>; Int32; Int64; UInt32","29","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","derivs_elec_vec.F90:164","derivs_elec_vec.F90:164","xgc2"
"174","[loop in pushe_single_vec at pushe_single_vec.F90:65]","1","1 Opportunity for outer loop vectorization ","0.7404s","0.0920s","0.8362s","Scalar","525600000","5.7155","0.2535","79.1667","22.5488","0.5256","73","2.0736","288","inner loop was already vectorized","","","","","","","256","256","248","256","28128","< 0.0001s","Square Roots; FMA; Mantissa extractions; Exponent extractions; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Exponent extractions; FMA; Mantissa extractions; Square Roots","Float32; Float64; UInt64","32","256/512","AVX; AVX512F_512","","","","","","pushe_single_vec.F90:65","pushe_single_vec.F90:65","xgc2"
"475","[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:49]","1","1 Possible inefficient memory access patterns present ","0.6559s","0s","2.9929s","Vectorized Versions","","","","","","","","","","2 cannot compute loop iteration count before executing the loop ","AVX512","AVX512","9.89568","1.58x","16","1.55x","16","16","15","16","421920","< 0.0001s","Gathers; Inserts; Mask Manipulations; Shifts","Gathers; Inserts; Mask Manipulations; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","12; 16; [0]","256/512","AVX; AVX512F_512","","Fused; [Fused]","","Unaligned Access in Vector Loop","LOOP WAS FUSED; [LOOP WAS FUSED]","efield_gk_elec2_vec.F90:49","efield_gk_elec2_vec.F90:49","xgc2"
"190","[child]-[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:49]","1","1 Possible inefficient memory access patterns present ","0.6559s","0.0680s","0.6559s","Vectorized (Body)","","","","","44.4443","","","3.0237","448","","AVX512","AVX512","","","16","1.55x","16","16","15","16","421920","< 0.0001s","Gathers; Inserts; Shifts; Mask Manipulations","Gathers; Inserts; Mask Manipulations; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","12","256/512","AVX512F_512","","Fused","","Unaligned Access in Vector Loop","LOOP WAS FUSED","efield_gk_elec2_vec.F90:49","efield_gk_elec2_vec.F90:49","xgc2"
"155","[child]-[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:49]","1","","0s","0s","2.3370s","Scalar","","","","","","","","0.0006","","cannot compute loop iteration count before executing the loop ","","","","","","","","","","","","","Shifts; Mask Manipulations","Mask Manipulations; Shifts","Float32; Int32; UInt32; UInt64","16","256/512","AVX; AVX512F_512","","","","","","efield_gk_elec2_vec.F90:49","efield_gk_elec2_vec.F90:49","xgc2"
"","[child]-[loop in efield_gk_elec2_vec at efield_gk_elec2_vec.F90:49]","-1","","n/a","n/a","n/a","Peeled [Not Executed]","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","","","","0","","","","Fused","","","LOOP WAS FUSED","efield_gk_elec2_vec.F90:49","efield_gk_elec2_vec.F90:49","xgc2"
"430","[loop in eval_bicub_1_vec at bicub_mod.F90:749]","1","","0.6357s","0s","0.6357s","Vectorized (Body; Remainder)","","","","","","","","","","","AVX512","AVX512","71.5596","11.45x","16; 8","<8.25x","16; 1","16; 1","15; 1","16; 1","900096; 3072","< 0.0001s","FMA","FMA","Float32; <b>Float64</b>; Int32","13; 14","256/512; 512","AVX2; AVX512F_512","","","","Cost Model Was Ignored; Dependency Analysis Was Ignored; Masked Loop Vectorization; SIMD; Unaligned Access in Vector Loop","","bicub_mod.F90:749","bicub_mod.F90:749","xgc2"
"193","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:749]","1","","0.6237s","0.0800s","0.6237s","Vectorized (Body)","1612627968","20.1617","0.0729","100","276.5034","1.6126","112","22.1160","1536","","AVX512","AVX512","","","16","8.25x","16","16","15","16","900096","< 0.0001s","FMA","FMA","Float32; <b>Float64</b>","13","512","AVX512F_512","","","","SIMD; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:749","bicub_mod.F90:749","xgc2"
"286","[child]-[loop in eval_bicub_1_vec at bicub_mod.F90:749]","1","","0.0120s","0.0120s","0.0120s","Vectorized (Remainder)","172032","0.0142985","0.0667","100","0.2145","0.0002","56","0.0026","840","","AVX512","AVX512","","","8","1.88x","1","1","1","1","3072","< 0.0001s","FMA","FMA","<b>Float64</b>; Int32","14","256/512","AVX2; AVX512F_512","","","","SIMD; Masked Loop Vectorization; Unaligned Access in Vector Loop; Dependency Analysis Was Ignored; Cost Model Was Ignored","","bicub_mod.F90:749","bicub_mod.F90:749","xgc2"
"120","[loop in maxwell_v_dist2 at load.F90:100]","1","","0.5921s","0.5921s","5.1300s","Scalar","220800000","0.372941","0.1371","100","2.7200","0.2208","92","1.6104","671","outer loop was not auto-vectorized: consider using SIMD directive","","","","","","","1200000","1200000","1200000","1200000","2","< 0.0001s","Square Roots; FMA; Mantissa extractions; Exponent extractions; Mask Manipulations; Reciprocal CPs(AVX-512ER)","Appr. Reciprocals(AVX-512ER); Exponent extractions; FMA; Mantissa extractions; Mask Manipulations; Square Roots","Float64; UInt64","32","128","AVX","","","","","","load.F90:100","load.F90:100","xgc2"
"435","[loop in t_coeff_vec at search.F90:269]","1","1 Possible inefficient memory access patterns present ","0.5237s","0s","0.5237s","Vectorized (Body; [Peeled; Remainder])","","","","","","","","","","1 vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","AVX512","AVX512","9.59878","1.54x","16","1.53x","16","16","15","16","112512","< 0.0001s","2-Source Permutes; FMA; Gathers; Inserts; Mask Manipulations; Scatters; Shifts; [FMA]","2-Source Permutes; FMA; Gathers; Inserts; Mask Manipulations; Scatters; Shifts;  [FMA]","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64; [Float64]","31; [9]","128/512","AVX; AVX512F_512","","","","Unaligned Access in Vector Loop","","search.F90:269","search.F90:269","xgc2"
"166","[child]-[loop in t_coeff_vec at search.F90:269]","1","1 Possible inefficient memory access patterns present ","0.5237s","0.0681s","0.5237s","Vectorized (Body)","287069184","4.21384","0.0780","99.6093","54.0006","0.2871","159.5","3.6788","2044","","AVX512","AVX512","","","16","1.53x","16","16","15","16","112512","< 0.0001s","Gathers; Inserts; Shifts; FMA; 2-Source Permutes; Scatters; Mask Manipulations","2-Source Permutes; FMA; Gathers; Inserts; Mask Manipulations; Scatters; Shifts","Float32; <b>Float64</b>; Int32; Int64; UInt32; UInt64","31","128/512","AVX; AVX512F_512","","","","Unaligned Access in Vector Loop","","search.F90:269","search.F90:269","xgc2"
"","[child]-[loop in t_coeff_vec at search.F90:269]","-1","","n/a","n/a","n/a","Peeled [Not Executed]","","","","","","","","","","vectorization possible but seems inefficient. Use vector always directive or -vec-threshold0 to override ","","","","","","","","","","","","","FMA","FMA","Float64","9","","","","","","","","search.F90:269","search.F90:269","xgc2"
